,coin_id
5,wrapped-bitcoin
11,ethereum
26,dogecoin
34,binancecoin
40,cardano
43,tron
46,renbtc
48,ripple
53,vechain
57,matic-network
58,litecoin
71,solana
75,chiliz
94,polkadot
99,filecoin
1,eos
3,theta-fuel
6,bitcoin-cash
10,chainlink
12,ethereum-classic
21,stellar
31,ftx-token
32,aave
37,pax-gold
43,monero
46,theta-token
48,uniswap
55,neo
62,yearn-finance
69,tezos
73,swipe
75,thorchain
78,waves
82,basic-attention-token
85,hedera-hashgraph
86,pancakeswap-token
91,algorand
97,sushi
98,dash
99,enjincoin
3,zcash
10,ankr
13,internet-computer
19,havven
21,omisego
23,iostoken
26,zilliqa
28,siacoin
30,cosmos
39,avalanche-2
45,terra-luna
51,curve-dao-token
53,harmony
67,compound-governance-token
68,the-graph
86,qtum
90,elrond-erd-2
91,celo
97,loopring
19,yfii-finance
35,fantom
40,the-sandbox
42,zencash
44,celer-network
45,origin-protocol
49,decentraland
51,nem
56,ravencoin
61,kusama
65,ontology
66,fetch-ai
70,maker
72,near
74,iexec-rlc
75,bitcoin-gold
80,wabi
83,kyber-network-crystal
85,serum
86,1inch
88,republic-protocol
91,nano
92,kava
94,0x
97,band-protocol
98,iota
3,blockstack
5,ethos
12,digibyte
23,storj
25,skale
29,wazirx
39,reef-finance
46,lto-network
51,district0x
53,bancor
62,zcoin
66,uma
72,coti
73,komodo
78,nkn
79,bitcoin-diamond
87,decred
88,cartesi
91,moeda-loyalty-points
96,livepeer
98,injective-protocol
0,audius
2,dock
4,metal
5,mirror-protocol
8,gas
21,lisk
25,sonm
26,ocean-protocol
28,troy
32,bitshares
36,streamr-datacoin
37,adex
40,golem
42,balancer
43,nervos-network
44,storm
50,tomochain
51,tellor
52,aragon
65,axie-infinity
66,bakerytoken
68,perpetual-protocol
74,alpha-finance
75,ark
80,just
87,civic
88,ong
92,chromaway
94,venus
96,bzx-protocol
2,syscoin
3,reserve-rights-token
7,polymath-network
21,nuls
23,wanchain
26,aion
27,bella-protocol
28,bluzelle
44,mithril
52,groestlcoin
53,steem
58,loom-network-new
59,orchid-protocol
62,iris-network
65,orion-protocol
72,my-neighbor-alice
76,ramp
79,nucypher
81,beam
87,trust-wallet-token
92,vite
96,cortex
0,secret
1,iotex
2,aelf
5,rif-token
7,automata
8,v-id-blockchain
11,gxchain
12,perlin
13,hive
18,drep-new
24,dia-data
25,augur
27,power-ledger
29,ardor
30,waltonchain
32,numeraire
33,verge
34,fio-protocol
36,dusk-network
39,mantra-dao
44,concierge-io
46,stratis
49,keep-network
53,alien-worlds
55,wrapped-nxm
57,skycoin
58,red-pulse
61,terra-virtua-kolect
62,pivx
68,gifto
70,truefi
71,certik
72,amber
73,aurora-dao
76,everex
79,utrust
82,arpa-chain
85,stp-network
87,helium
92,akropolis
93,wing-finance
95,conflux-token
97,hard-protocol
98,ampleforth-governance-token
99,oasis-network
0,populous
9,request-network
11,openanx
12,status
21,safepal
23,flamingo-finance
33,fc-barcelona-fan-token
36,raiden-network
37,pnetwork
38,dego-finance
41,genesis-vision
45,btc-standard-hashrate-token
48,paris-saint-germain-fan-token
49,singularitynet
58,nexus
61,quantstamp
62,quark-chain
63,neblio
66,agrello
67,superfarm
72,atletico-madrid
75,ac-milan-fan-token
78,ripio-credit-network
79,pha
83,singulardtv
84,juventus-fan-token
93,aergo
97,funfair
0,dodo
2,frontier-token
3,contentos
6,unifi-protocol-dao
7,bread
8,nav-coin
10,badger-dao
11,viacoin
15,linear
22,airswap
24,ellipsis
25,auction
27,frax-share
31,measurable-data-token
33,new-bitshares
37,tokenclub
42,tokocrypto
46,viberate
50,marlin
56,blox
60,gitcoin
61,nebulas
62,arweave
65,appcoins
76,litentry
81,auto
95,stafi
96,polkastarter
